wavelength(AA)   flux(mJy)   unc(mJy)   resolution(km/s)
4727.000     0.8048   0.0838   253.5
4728.000     0.6852   0.0833   253.4
4729.000     1.0038   0.0828   253.3
4730.000     0.6678   0.0825   253.3
4731.000     0.8722   0.0822   253.2
4732.000     0.9784   0.0821   253.2
4733.000     0.9204   0.0822   253.1
4734.000     0.8885   0.0823   253.0
4735.000     0.6626   0.0826   253.0
4736.000     0.8968   0.0829   252.9
4737.000     0.7727   0.0832   252.8
4738.000     0.8337   0.0835   252.8
4739.000     0.7170   0.0838   252.7
4740.000     0.7361   0.0841   252.6
4741.000     0.7582   0.0844   252.6
4742.000     1.0093   0.0847   252.5
4743.000     0.7726   0.0850   252.4
4744.000     0.7343   0.0852   252.4
4745.000     0.6486   0.0855   252.3
4746.000     1.0131   0.0857   252.3
4747.000     0.9171   0.0859   252.2
4748.000     0.8136   0.0860   252.1
4749.000     0.6499   0.0861   252.1
4750.000     0.7677   0.0861   252.0
4751.000     0.7915   0.0860   251.9
4752.000     1.0337   0.0858   251.9
4753.000     0.7799   0.0856   251.8
4754.000     0.9099   0.0854   251.7
4755.000     0.7044   0.0851   251.7
4756.000     0.8187   0.0849   251.6
4757.000     0.9333   0.0847   251.6
4758.000     0.7918   0.0845   251.5
4759.000     0.7222   0.0842   251.4
4760.000     0.9036   0.0840   251.4
4761.000     0.8866   0.0837   251.3
4762.000     0.8592   0.0834   251.2
4763.000     0.9250   0.0831   251.2
4764.000     0.7897   0.0829   251.1
4765.000     0.8587   0.0827   251.0
4766.000     0.7340   0.0827   251.0
4767.000     0.8065   0.0828   250.9
4768.000     0.8367   0.0831   250.8
4769.000     0.6533   0.0835   250.8
4770.000     0.7891   0.0840   250.7
4771.000     0.9047   0.0845   250.7
4772.000     0.7145   0.0850   250.6
4773.000     0.7943   0.0855   250.5
4774.000     0.8695   0.0860   250.5
4775.000     1.1265   0.0864   250.4
4776.000     0.9524   0.0867   250.3
4777.000     0.8220   0.0870   250.3
4778.000     0.7338   0.0871   250.2
4779.000     0.8394   0.0871   250.1
4780.000     0.8726   0.0870   250.1
4781.000     0.9631   0.0868   250.0
4782.000     0.8192   0.0865   250.0
4783.000     0.9348   0.0862   249.9
4784.000     0.9545   0.0859   249.8
4785.000     0.8359   0.0856   249.8
4786.000     0.9211   0.0854   249.7
4787.000     0.8215   0.0853   249.6
4788.000     0.8550   0.0853   249.6
4789.000     0.7239   0.0854   249.5
4790.000     0.8600   0.0856   249.4
4791.000     0.9335   0.0860   249.4
4792.000     0.9142   0.0864   249.3
4793.000     0.8477   0.0869   249.2
4794.000     0.9616   0.0873   249.2
4795.000     0.8255   0.0877   249.1
4796.000     0.8599   0.0880   249.1
4797.000     0.7616   0.0882   249.0
4798.000     0.9428   0.0883   248.9
4799.000     0.8443   0.0882   248.9
4800.000     0.9023   0.0882   248.8
4801.000     0.8976   0.0881   248.7
4802.000     0.8792   0.0880   248.7
4803.000     0.9058   0.0879   248.6
4804.000     0.9438   0.0878   248.5
4805.000     0.8695   0.0877   248.5
4806.000     0.9252   0.0877   248.4
4807.000     0.8914   0.0876   248.4
4808.000     0.9272   0.0876   248.3
4809.000     0.8550   0.0876   248.2
4810.000     0.9690   0.0878   248.2
4811.000     0.9347   0.0879   248.1
4812.000     0.8075   0.0882   248.0
4813.000     0.8705   0.0885   248.0
4814.000     0.8217   0.0888   247.9
4815.000     0.7318   0.0891   247.8
4816.000     0.8754   0.0894   247.8
4817.000     1.0162   0.0897   247.7
4818.000     0.9598   0.0898   247.6
4819.000     0.8981   0.0899   247.6
4820.000     0.9367   0.0898   247.5
4821.000     0.9556   0.0896   247.5
4822.000     1.0028   0.0893   247.4
4823.000     0.9652   0.0890   247.3
4824.000     1.0760   0.0887   247.3
4825.000     0.9862   0.0884   247.2
4826.000     0.7280   0.0881   247.1
4827.000     0.8912   0.0879   247.1
4828.000     0.9694   0.0878   247.0
4829.000     0.8597   0.0877   246.9
4830.000     0.7400   0.0877   246.9
4831.000     0.8809   0.0876   246.8
4832.000     0.8228   0.0876   246.8
4833.000     0.6808   0.0876   246.7
4834.000     0.8653   0.0876   246.6
4835.000     0.9710   0.0876   246.6
4836.000     0.9383   0.0876   246.5
4837.000     0.9368   0.0875   246.4
4838.000     0.8889   0.0874   246.4
4839.000     0.7798   0.0872   246.3
4840.000     0.9787   0.0871   246.2
4841.000     0.8503   0.0870   246.2
4842.000     0.8163   0.0869   246.1
4843.000     0.8845   0.0868   246.0
4844.000     1.0191   0.0868   246.0
4845.000     0.9127   0.0868   245.9
4846.000     0.8991   0.0868   245.9
4847.000     0.7890   0.0868   245.8
4848.000     1.0362   0.0866   245.7
4849.000     0.9427   0.0864   245.7
4850.000     1.0023   0.0861   245.6
4851.000     1.0143   0.0856   245.5
4852.000     0.7486   0.0849   245.5
4853.000     0.9161   0.0841   245.4
4854.000     0.8960   0.0830   245.3
4855.000     0.6689   0.0817   245.3
4856.000     0.8302   0.0801   245.2
4857.000     0.7483   0.0784   245.2
4858.000     0.6133   0.0766   245.1
4859.000     0.8078   0.0748   245.0
4860.000     0.7179   0.0732   245.0
4861.000     0.7158   0.0720   244.9
4862.000     0.7673   0.0713   244.8
4863.000     0.7172   0.0711   244.8
4864.000     0.7488   0.0716   244.7
4865.000     0.6351   0.0726   244.6
4866.000     0.7977   0.0739   244.6
4867.000     0.7267   0.0754   244.5
4868.000     0.6898   0.0769   244.4
4869.000     0.7536   0.0782   244.4
4870.000     0.8530   0.0793   244.3
4871.000     0.6852   0.0803   244.3
4872.000     0.8658   0.0810   244.2
4873.000     0.7863   0.0817   244.1
4874.000     0.9789   0.0824   244.1
4875.000     0.8921   0.0832   244.0
4876.000     0.8666   0.0839   243.9
4877.000     0.9160   0.0847   243.9
4878.000     0.8092   0.0854   243.8
4879.000     0.9012   0.0860   243.7
4880.000     0.8483   0.0865   243.7
4881.000     0.8202   0.0868   243.6
4882.000     0.8925   0.0870   243.6
4883.000     0.8593   0.0870   243.5
4884.000     0.9864   0.0869   243.4
4885.000     0.8939   0.0867   243.4
4886.000     0.8940   0.0864   243.3
4887.000     0.8474   0.0862   243.2
4888.000     0.9718   0.0861   243.2
4889.000     0.6999   0.0861   243.1
4890.000     0.7024   0.0863   243.0
4891.000     0.7644   0.0867   243.0
4892.000     0.8755   0.0874   242.9
4893.000     0.7075   0.0883   242.8
4894.000     0.7979   0.0893   242.8
4895.000     0.9652   0.0903   242.7
4896.000     0.9622   0.0913   242.7
4897.000     0.7858   0.0921   242.6
4898.000     0.9924   0.0927   242.5
4899.000     1.0748   0.0931   242.5
4900.000     1.1329   0.0932   242.4
4901.000     0.9480   0.0931   242.3
4902.000     0.9576   0.0930   242.3
4903.000     0.9188   0.0928   242.2
4904.000     1.0839   0.0926   242.1
4905.000     0.9732   0.0924   242.1
4906.000     0.8356   0.0922   242.0
4907.000     0.9984   0.0920   242.0
4908.000     0.8619   0.0918   241.9
4909.000     0.9707   0.0916   241.8
4910.000     0.7972   0.0914   241.8
4911.000     0.9015   0.0912   241.7
4912.000     1.1331   0.0910   241.6
4913.000     0.8003   0.0909   241.6
4914.000     0.9293   0.0908   241.5
4915.000     1.0114   0.0905   241.4
4916.000     0.8810   0.0902   241.4
4917.000     0.9942   0.0897   241.3
4918.000     0.9331   0.0891   241.2
4919.000     0.8298   0.0884   241.2
4920.000     0.8084   0.0878   241.1
4921.000     0.8908   0.0873   241.1
4922.000     0.7148   0.0871   241.0
4923.000     0.7602   0.0872   240.9
4924.000     0.8937   0.0876   240.9
4925.000     0.7754   0.0883   240.8
4926.000     0.8697   0.0892   240.7
4927.000     0.7918   0.0902   240.7
4928.000     1.0248   0.0911   240.6
4929.000     1.0011   0.0918   240.5
4930.000     0.9654   0.0924   240.5
4931.000     0.9440   0.0926   240.4
4932.000     0.8769   0.0926   240.4
4933.000     0.8170   0.0924   240.3
4934.000     1.1164   0.0920   240.2
4935.000     0.9725   0.0916   240.2
4936.000     0.8965   0.0911   240.1
4937.000     0.9486   0.0908   240.0
4938.000     0.9933   0.0906   240.0
4939.000     1.0258   0.0907   239.9
4940.000     1.0630   0.0909   239.8
4941.000     0.9821   0.0914   239.8
4942.000     0.8446   0.0920   239.7
4943.000     0.9353   0.0928   239.6
4944.000     0.9830   0.0935   239.6
4945.000     0.9349   0.0943   239.5
4946.000     0.9570   0.0949   239.5
4947.000     0.6586   0.0954   239.4
4948.000     1.1194   0.0958   239.3
4949.000     0.9453   0.0961   239.3
4950.000     1.1279   0.0962   239.2
4951.000     1.0526   0.0961   239.1
4952.000     0.9986   0.0959   239.1
4953.000     1.1507   0.0955   239.0
4954.000     0.8838   0.0950   238.9
4955.000     1.2056   0.0944   238.9
4956.000     0.9464   0.0937   238.8
4957.000     0.7583   0.0932   238.8
4958.000     0.8622   0.0928   238.7
4959.000     0.9378   0.0926   238.6
4960.000     0.7571   0.0927   238.6
4961.000     0.9160   0.0929   238.5
4962.000     0.8885   0.0932   238.4
4963.000     0.8675   0.0935   238.4
4964.000     0.8845   0.0937   238.3
4965.000     0.8634   0.0938   238.2
4966.000     0.9573   0.0938   238.2
4967.000     0.9646   0.0938   238.1
4968.000     0.9248   0.0938   238.0
4969.000     0.9440   0.0938   238.0
4970.000     0.9680   0.0939   237.9
4971.000     0.9945   0.0941   237.9
4972.000     0.9650   0.0943   237.8
4973.000     1.1235   0.0946   237.7
4974.000     1.1110   0.0948   237.7
4975.000     0.8490   0.0949   237.6
4976.000     0.8463   0.0947   237.5
4977.000     0.8461   0.0944   237.5
4978.000     1.0110   0.0938   237.4
4979.000     0.8749   0.0931   237.3
4980.000     1.0319   0.0922   237.3
4981.000     0.8286   0.0913   237.2
4982.000     0.7750   0.0905   237.2
4983.000     0.7431   0.0899   237.1
4984.000     0.7460   0.0895   237.0
4985.000     0.8573   0.0895   237.0
4986.000     1.0811   0.0897   236.9
4987.000     0.9661   0.0901   236.8
4988.000     0.9182   0.0907   236.8
4989.000     0.8476   0.0913   236.7
4990.000     0.8881   0.0919   236.6
4991.000     0.8518   0.0925   236.6
4992.000     0.8915   0.0929   236.5
4993.000     0.9509   0.0932   236.4
4994.000     0.9949   0.0935   236.4
4995.000     0.9019   0.0936   236.3
4996.000     0.9966   0.0936   236.3
4997.000     0.9274   0.0934   236.2
4998.000     0.8960   0.0932   236.1
4999.000     0.9689   0.0928   236.1
5000.000     0.8768   0.0924   236.0
5001.000     0.9266   0.0919   235.9
5002.000     0.9121   0.0914   235.9
5003.000     1.0049   0.0909   235.8
5004.000     0.8984   0.0906   235.7
5005.000     0.9349   0.0903   235.7
5006.000     0.8086   0.0901   235.6
5007.000     0.8796   0.0900   235.6
5008.000     1.0170   0.0900   235.5
5009.000     1.0215   0.0899   235.4
5010.000     0.9600   0.0899   235.4
5011.000     0.8487   0.0897   235.3
5012.000     0.8229   0.0895   235.2
5013.000     0.8186   0.0892   235.2
5014.000     0.8401   0.0889   235.1
5015.000     0.9197   0.0887   235.0
5016.000     0.8220   0.0886   235.0
5017.000     0.7945   0.0886   234.9
5018.000     0.7820   0.0887   234.8
5019.000     0.8250   0.0890   234.8
5020.000     0.7079   0.0894   234.7
5021.000     0.7625   0.0898   234.7
5022.000     0.8146   0.0903   234.6
5023.000     0.8771   0.0908   234.5
5024.000     1.0618   0.0913   234.5
5025.000     0.9902   0.0918   234.4
5026.000     0.9432   0.0923   234.3
5027.000     0.7799   0.0928   234.3
5028.000     0.8847   0.0933   234.2
5029.000     0.9975   0.0938   234.1
5030.000     1.0625   0.0942   234.1
5031.000     0.7252   0.0946   234.0
5032.000     1.0779   0.0948   234.0
5033.000     0.9324   0.0949   233.9
5034.000     1.0343   0.0947   233.8
5035.000     0.8896   0.0944   233.8
5036.000     0.9319   0.0937   233.7
5037.000     0.8174   0.0930   233.6
5038.000     0.9296   0.0921   233.6
5039.000     1.0550   0.0914   233.5
5040.000     1.0269   0.0908   233.4
5041.000     0.9794   0.0904   233.4
5042.000     0.8313   0.0904   233.3
5043.000     0.8859   0.0908   233.2
5044.000     0.8601   0.0914   233.2
5045.000     0.9534   0.0922   233.1
5046.000     1.0209   0.0929   233.1
5047.000     0.8253   0.0936   233.0
5048.000     0.8907   0.0941   232.9
5049.000     1.0325   0.0945   232.9
5050.000     1.0514   0.0947   232.8
5051.000     0.8335   0.0949   232.7
5052.000     0.9433   0.0951   232.7
5053.000     1.0723   0.0954   232.6
5054.000     1.0768   0.0959   232.5
5055.000     0.9288   0.0964   232.5
5056.000     1.0752   0.0970   232.4
5057.000     1.0124   0.0976   232.4
5058.000     0.8872   0.0981   232.3
5059.000     1.1516   0.0985   232.2
5060.000     0.9463   0.0987   232.2
5061.000     0.9747   0.0986   232.1
5062.000     0.8284   0.0984   232.0
5063.000     0.9315   0.0980   232.0
5064.000     0.9053   0.0975   231.9
5065.000     0.7967   0.0969   231.8
5066.000     1.0057   0.0964   231.8
5067.000     0.8903   0.0959   231.7
5068.000     1.0438   0.0955   231.6
5069.000     0.9243   0.0953   231.6
5070.000     1.0591   0.0952   231.5
5071.000     0.9562   0.0951   231.5
5072.000     0.9327   0.0951   231.4
5073.000     0.9312   0.0950   231.3
5074.000     0.8689   0.0949   231.3
5075.000     0.9003   0.0947   231.2
5076.000     1.0224   0.0945   231.1
5077.000     1.0173   0.0941   231.1
5078.000     0.9238   0.0936   231.0
5079.000     0.9232   0.0932   230.9
5080.000     0.8006   0.0928   230.9
5081.000     0.8789   0.0925   230.8
5082.000     0.8750   0.0924   230.8
5083.000     0.8031   0.0926   230.7
5084.000     1.0410   0.0930   230.6
5085.000     0.9169   0.0936   230.6
5086.000     0.9313   0.0943   230.5
5087.000     1.0247   0.0951   230.4
5088.000     0.8701   0.0958   230.4
5089.000     1.0313   0.0965   230.3
5090.000     0.7514   0.0971   230.2
5091.000     0.9198   0.0976   230.2
5092.000     0.7822   0.0979   230.1
5093.000     1.1015   0.0980   230.0
5094.000     1.0523   0.0980   230.0
5095.000     0.9147   0.0977   229.9
5096.000     0.9739   0.0973   229.9
5097.000     0.8859   0.0968   229.8
5098.000     1.0032   0.0963   229.7
5099.000     1.0332   0.0959   229.7
5100.000     0.8973   0.0956   229.6
5101.000     0.9907   0.0954   229.5
5102.000     0.8718   0.0953   229.5
5103.000     0.9222   0.0954   229.4
5104.000     0.9749   0.0954   229.3
5105.000     1.0272   0.0954   229.3
5106.000     0.8911   0.0954   229.2
5107.000     0.9431   0.0953   229.2
5108.000     0.9961   0.0953   229.1
5109.000     1.0267   0.0953   229.0
5110.000     1.0884   0.0954   229.0
5111.000     0.9416   0.0957   228.9
5112.000     1.1471   0.0961   228.8
5113.000     0.8901   0.0967   228.8
5114.000     1.0557   0.0973   228.7
5115.000     1.1364   0.0979   228.6
5116.000     1.1678   0.0984   228.6
5117.000     0.9780   0.0988   228.5
5118.000     0.8862   0.0990   228.4
5119.000     0.8392   0.0989   228.4
5120.000     0.9447   0.0986   228.3
5121.000     0.8016   0.0981   228.3
5122.000     0.8983   0.0974   228.2
5123.000     0.7913   0.0967   228.1
5124.000     0.9915   0.0959   228.1
5125.000     1.0583   0.0952   228.0
5126.000     0.9319   0.0946   227.9
5127.000     1.0810   0.0943   227.9
5128.000     0.9098   0.0941   227.8
5129.000     1.0024   0.0942   227.7
5130.000     0.8542   0.0944   227.7
5131.000     0.9698   0.0947   227.6
5132.000     1.0289   0.0951   227.6
5133.000     0.9890   0.0955   227.5
5134.000     1.0589   0.0958   227.4
5135.000     0.9760   0.0960   227.4
5136.000     0.9700   0.0960   227.3
5137.000     0.9770   0.0959   227.2
5138.000     1.0744   0.0957   227.2
5139.000     0.9926   0.0954   227.1
5140.000     0.9962   0.0950   227.0
5141.000     0.9681   0.0947   227.0
5142.000     1.0575   0.0944   226.9
5143.000     0.7220   0.0943   226.8
5144.000     0.8835   0.0942   226.8
5145.000     0.9475   0.0942   226.7
5146.000     0.9559   0.0942   226.7
5147.000     0.8036   0.0943   226.6
5148.000     1.0918   0.0944   226.5
5149.000     0.9628   0.0945   226.5
5150.000     0.8950   0.0946   226.4
5151.000     1.0814   0.0947   226.3
5152.000     1.0412   0.0949   226.3
5153.000     0.8117   0.0952   226.2
5154.000     0.7468   0.0956   226.1
5155.000     0.8782   0.0962   226.1
5156.000     1.0525   0.0968   226.0
5157.000     1.0558   0.0974   226.0
5158.000     1.0138   0.0979   225.9
5159.000     1.0656   0.0983   225.8
5160.000     0.9655   0.0984   225.8
5161.000     1.1000   0.0981   225.7
5162.000     1.0585   0.0974   225.6
5163.000     0.8751   0.0962   225.6
5164.000     0.9415   0.0947   225.5
5165.000     0.9359   0.0928   225.4
5166.000     0.9858   0.0907   225.4
5167.000     0.8028   0.0887   225.3
5168.000     0.8623   0.0868   225.2
5169.000     0.9027   0.0853   225.2
5170.000     0.8013   0.0842   225.1
5171.000     0.9161   0.0837   225.1
5172.000     0.9041   0.0838   225.0
5173.000     0.7964   0.0844   224.9
5174.000     0.8537   0.0855   224.9
5175.000     0.8880   0.0870   224.8
5176.000     0.8834   0.0885   224.7
5177.000     0.8036   0.0900   224.7
5178.000     0.8418   0.0912   224.6
5179.000     1.0828   0.0919   224.5
5180.000     0.8819   0.0921   224.5
5181.000     0.9689   0.0919   224.4
5182.000     0.8668   0.0913   224.4
5183.000     0.7292   0.0907   224.3
5184.000     1.0883   0.0901   224.2
5185.000     0.8237   0.0899   224.2
5186.000     0.9099   0.0902   224.1
5187.000     0.8289   0.0908   224.0
5188.000     0.8771   0.0916   224.0
5189.000     0.9157   0.0926   223.9
5190.000     0.8906   0.0935   223.8
5191.000     0.9860   0.0942   223.8
5192.000     1.1100   0.0948   223.7
5193.000     0.9188   0.0952   223.6
5194.000     1.0736   0.0955   223.6
5195.000     0.8973   0.0959   223.5
5196.000     1.0029   0.0963   223.5
5197.000     0.9100   0.0968   223.4
5198.000     0.9691   0.0973   223.3
5199.000     0.9720   0.0978   223.3
5200.000     1.1082   0.0981   223.2
5201.000     1.0510   0.0983   223.1
5202.000     1.0292   0.0982   223.1
5203.000     0.9499   0.0978   223.0
5204.000     1.0587   0.0972   222.9
5205.000     1.0534   0.0965   222.9
5206.000     0.9776   0.0959   222.8
5207.000     0.9012   0.0953   222.8
5208.000     0.9746   0.0950   222.7
5209.000     0.8186   0.0951   222.6
5210.000     1.0571   0.0955   222.6
5211.000     0.7730   0.0961   222.5
5212.000     1.0860   0.0970   222.4
5213.000     0.8917   0.0980   222.4
5214.000     0.9247   0.0989   222.3
5215.000     0.9530   0.0997   222.2
5216.000     1.0741   0.1005   222.2
5217.000     0.9598   0.1010   222.1
5218.000     1.1051   0.1015   222.0
5219.000     1.1312   0.1018   222.0
5220.000     1.1201   0.1020   221.9
5221.000     0.9192   0.1019   221.9
5222.000     1.1495   0.1017   221.8
5223.000     0.9551   0.1012   221.7
5224.000     1.2226   0.1005   221.7
5225.000     0.9552   0.0998   221.6
5226.000     0.7691   0.0990   221.5
5227.000     1.0873   0.0985   221.5
5228.000     0.9601   0.0982   221.4
5229.000     0.8741   0.0982   221.3
5230.000     0.8846   0.0985   221.3
5231.000     1.1568   0.0990   221.2
5232.000     0.9777   0.0997   221.2
5233.000     0.9670   0.1004   221.1
5234.000     1.0297   0.1011   221.0
5235.000     1.0670   0.1018   221.0
5236.000     0.9037   0.1025   220.9
5237.000     1.0585   0.1032   220.8
5238.000     0.9613   0.1039   220.8
5239.000     1.0439   0.1046   220.7
5240.000     1.0622   0.1052   220.6
5241.000     1.4025   0.1057   220.6
5242.000     1.1951   0.1060   220.5
5243.000     1.3698   0.1061   220.4
5244.000     1.0309   0.1061   220.4
5245.000     1.1638   0.1058   220.3
5246.000     1.0800   0.1054   220.3
5247.000     1.2101   0.1049   220.2
5248.000     0.8295   0.1043   220.1
5249.000     0.8966   0.1038   220.1
5250.000     0.8553   0.1033   220.0
5251.000     1.1217   0.1031   219.9
5252.000     0.9437   0.1030   219.9
5253.000     1.0650   0.1031   219.8
5254.000     1.0686   0.1033   219.7
5255.000     1.0095   0.1037   219.7
5256.000     1.1389   0.1042   219.6
5257.000     1.0231   0.1045   219.6
5258.000     1.1533   0.1047   219.5
5259.000     0.9772   0.1045   219.4
5260.000     1.0903   0.1041   219.4
5261.000     1.0997   0.1031   219.3
5262.000     0.8597   0.1019   219.2
5263.000     1.0194   0.1004   219.2
5264.000     0.9564   0.0988   219.1
5265.000     0.8970   0.0973   219.0
5266.000     1.1972   0.0960   219.0
5267.000     1.0346   0.0950   218.9
5268.000     1.0494   0.0943   218.8
5269.000     1.1173   0.0941   218.8
5270.000     1.0100   0.0943   218.7
5271.000     0.8968   0.0949   218.7
5272.000     1.0993   0.0958   218.6
5273.000     0.8753   0.0970   218.5
5274.000     0.8636   0.0983   218.5
5275.000     1.0330   0.0997   218.4
5276.000     1.0816   0.1011   218.3
5277.000     0.9532   0.1024   218.3
5278.000     0.9905   0.1035   218.2
5279.000     0.9686   0.1044   218.1
5280.000     1.1004   0.1051   218.1
5281.000     1.0541   0.1056   218.0
5282.000     1.0151   0.1060   218.0
5283.000     1.0533   0.1063   217.9
5284.000     1.1813   0.1067   217.8
5285.000     1.0624   0.1072   217.8
5286.000     1.0636   0.1079   217.7
5287.000     1.0503   0.1087   217.6
5288.000     1.2640   0.1094   217.6
5289.000     1.1626   0.1102   217.5
5290.000     1.2412   0.1107   217.4
5291.000     1.1454   0.1110   217.4
5292.000     0.9377   0.1110   217.3
5293.000     1.0622   0.1107   217.2
5294.000     1.1207   0.1102   217.2
5295.000     1.2291   0.1094   217.1
5296.000     0.8263   0.1085   217.1
5297.000     1.1509   0.1077   217.0
5298.000     1.1936   0.1070   216.9
5299.000     0.9577   0.1066   216.9
5300.000     0.9050   0.1064   216.8
5301.000     1.4004   0.1066   216.7
5302.000     1.0684   0.1071   216.7
5303.000     1.0020   0.1078   216.6
5304.000     1.1019   0.1087   216.5
5305.000     1.2051   0.1096   216.5
5306.000     1.0238   0.1105   216.4
5307.000     1.2656   0.1113   216.4
5308.000     0.9338   0.1119   216.3
5309.000     1.1103   0.1124   216.2
5310.000     1.1309   0.1127   216.2
5311.000     1.2955   0.1128   216.1
5312.000     1.1130   0.1128   216.0
5313.000     1.1143   0.1127   216.0
5314.000     1.0882   0.1125   215.9
5315.000     0.8493   0.1122   215.8
5316.000     1.0606   0.1118   215.8
5317.000     1.3640   0.1114   215.7
5318.000     1.0923   0.1110   215.6
5319.000     1.1905   0.1106   215.6
5320.000     1.0659   0.1101   215.5
5321.000     1.1231   0.1096   215.5
5322.000     1.0603   0.1090   215.4
5323.000     0.9933   0.1082   215.3
5324.000     1.1192   0.1073   215.3
5325.000     0.9808   0.1063   215.2
5326.000     1.1573   0.1053   215.1
5327.000     1.1149   0.1044   215.1
5328.000     0.9552   0.1037   215.0
5329.000     0.9556   0.1033   214.9
5330.000     1.1614   0.1034   214.9
5331.000     1.1513   0.1039   214.8
5332.000     1.0080   0.1047   214.8
5333.000     1.0385   0.1057   214.7
5334.000     1.0350   0.1068   214.6
5335.000     1.2257   0.1077   214.6
5336.000     1.1730   0.1085   214.5
5337.000     1.1423   0.1089   214.4
5338.000     0.9924   0.1092   214.4
5339.000     0.9766   0.1092   214.3
5340.000     1.1934   0.1091   214.2
5341.000     1.2717   0.1090   214.2
5342.000     0.7921   0.1089   214.1
5343.000     0.9148   0.1089   214.0
5344.000     1.1600   0.1091   214.0
5345.000     1.0658   0.1092   213.9
5346.000     0.9912   0.1095   213.9
5347.000     1.1718   0.1097   213.8
5348.000     0.9541   0.1100   213.7
5349.000     1.2038   0.1104   213.7
5350.000     1.0600   0.1109   213.6
5351.000     1.2989   0.1114   213.5
5352.000     1.0983   0.1121   213.5
5353.000     1.2390   0.1129   213.4
5354.000     1.0855   0.1137   213.3
5355.000     1.0330   0.1145   213.3
5356.000     1.0833   0.1152   213.2
5357.000     1.1648   0.1158   213.2
5358.000     0.9828   0.1161   213.1
5359.000     1.2905   0.1162   213.0
5360.000     1.1567   0.1160   213.0
5361.000     0.8863   0.1156   212.9
5362.000     0.9794   0.1150   212.8
5363.000     1.0125   0.1143   212.8
5364.000     1.0082   0.1135   212.7
5365.000     1.1477   0.1126   212.6
5366.000     1.0960   0.1118   212.6
5367.000     1.1539   0.1110   212.5
5368.000     1.0239   0.1103   212.4
5369.000     1.2035   0.1098   212.4
5370.000     1.0172   0.1094   212.3
5371.000     1.0036   0.1093   212.3
5372.000     1.1455   0.1095   212.2
5373.000     0.9877   0.1099   212.1
5374.000     1.2081   0.1107   212.1
5375.000     1.2840   0.1115   212.0
5376.000     1.2319   0.1124   211.9
5377.000     1.0357   0.1132   211.9
5378.000     1.0798   0.1139   211.8
5379.000     1.2092   0.1143   211.7
5380.000     1.1212   0.1145   211.7
5381.000     1.3028   0.1145   211.6
5382.000     1.3042   0.1144   211.6
5383.000     1.2724   0.1143   211.5
5384.000     1.3260   0.1142   211.4
5385.000     1.0454   0.1140   211.4
5386.000     1.0683   0.1139   211.3
5387.000     1.2032   0.1137   211.2
5388.000     1.3395   0.1135   211.2
5389.000     1.0289   0.1131   211.1
5390.000     1.1015   0.1127   211.0
5391.000     1.1776   0.1122   211.0
5392.000     1.1050   0.1116   210.9
5393.000     0.8669   0.1110   210.8
5394.000     1.0435   0.1105   210.8
5395.000     1.0500   0.1100   210.7
5396.000     1.0554   0.1096   210.7
5397.000     0.9838   0.1094   210.6
5398.000     1.0652   0.1092   210.5
5399.000     0.8579   0.1092   210.5
5400.000     0.9914   0.1092   210.4
5401.000     1.0307   0.1091   210.3
5402.000     1.0835   0.1090   210.3
5403.000     1.1712   0.1088   210.2
5404.000     1.0191   0.1085   210.1
5405.000     1.1360   0.1081   210.1
5406.000     1.0446   0.1078   210.0
5407.000     0.9302   0.1077   210.0
5408.000     1.0930   0.1077   209.9
5409.000     1.1265   0.1080   209.8
5410.000     1.2421   0.1086   209.8
5411.000     1.0851   0.1093   209.7
5412.000     1.1367   0.1102   209.6
5413.000     1.2377   0.1112   209.6
5414.000     1.1414   0.1121   209.5
5415.000     0.9529   0.1130   209.4
5416.000     1.0627   0.1137   209.4
5417.000     1.2260   0.1143   209.3
5418.000     1.1373   0.1147   209.2
5419.000     1.2047   0.1149   209.2
5420.000     1.2802   0.1150   209.1
5421.000     1.1807   0.1150   209.1
5422.000     1.1689   0.1149   209.0
5423.000     1.1339   0.1147   208.9
5424.000     1.1777   0.1146   208.9
5425.000     1.1315   0.1144   208.8
5426.000     1.2038   0.1141   208.7
5427.000     1.1150   0.1138   208.7
5428.000     1.1399   0.1135   208.6
5429.000     0.9020   0.1131   208.5
5430.000     1.1149   0.1127   208.5
5431.000     1.0270   0.1122   208.4
5432.000     1.0473   0.1119   208.4
5433.000     1.0900   0.1117   208.3
5434.000     1.0882   0.1117   208.2
5435.000     1.2269   0.1120   208.2
5436.000     1.1687   0.1125   208.1
5437.000     1.1139   0.1132   208.0
5438.000     1.0346   0.1141   208.0
5439.000     0.9060   0.1150   207.9
5440.000     1.1614   0.1158   207.8
5441.000     1.3821   0.1165   207.8
5442.000     1.0227   0.1168   207.7
5443.000     1.2918   0.1168   207.6
5444.000     1.1121   0.1165   207.6
5445.000     1.0759   0.1160   207.5
5446.000     1.3282   0.1154   207.5
5447.000     1.2344   0.1149   207.4
5448.000     1.0779   0.1145   207.3
5449.000     1.1914   0.1143   207.3
5450.000     1.0407   0.1143   207.2
5451.000     1.2619   0.1144   207.1
5452.000     1.3244   0.1145   207.1
5453.000     1.0571   0.1145   207.0
5454.000     1.3120   0.1145   206.9
5455.000     1.1132   0.1145   206.9
5456.000     1.1702   0.1144   206.8
5457.000     1.2541   0.1145   206.8
5458.000     1.1925   0.1146   206.7
5459.000     0.9911   0.1147   206.6
5460.000     1.1162   0.1149   206.6
5461.000     1.1036   0.1151   206.5
